,precision,recall,f1-score,support
admiration,0.054274084124830396,0.05896805896805897,0.05652378709373528,2035.0
amusement,0.028973509933774833,0.027955271565495207,0.028455284552845527,1252.0
anger,0.03156146179401993,0.01794145420207743,0.022877784467188435,1059.0
annoyance,0.052083333333333336,0.006176652254478073,0.011043622308117063,1619.0
approval,0.07423580786026202,0.00762673844773441,0.013832384052074858,2229.0
caring,0.02617801047120419,0.007072135785007072,0.011135857461024497,707.0
confusion,0.019417475728155338,0.0020060180541624875,0.0036363636363636364,997.0
curiosity,0.034055727554179564,0.009425878320479864,0.014765100671140941,1167.0
desire,0.011235955056179775,0.002257336343115124,0.0037593984962406017,443.0
disappointment,0.022988505747126436,0.0021598272138228943,0.003948667324777888,926.0
disapproval,0.06140350877192982,0.008922880815806247,0.015581524763494713,1569.0
disgust,0.03535353535353535,0.011570247933884297,0.017434620174346202,605.0
embarrassment,0.0,0.0,0.0,315.0
excitement,0.017045454545454544,0.004807692307692308,0.007500000000000001,624.0
fear,0.0149812734082397,0.011049723756906077,0.01271860095389507,362.0
gratitude,0.04428571428571428,0.04415954415954416,0.0442225392296719,1404.0
grief,0.0,0.0,0.0,70.0
joy,0.025252525252525252,0.011737089201877934,0.016025641025641028,852.0
love,0.02448210922787194,0.026422764227642278,0.02541544477028348,984.0
nervousness,0.0,0.0,0.0,157.0
neutral,0.32031578063324095,0.6905042092875894,0.43762370557356356,11047.0
optimism,0.023706896551724137,0.011714589989350373,0.01568068424803992,939.0
pride,0.0,0.0,0.0,131.0
realization,0.0,0.0,0.0,929.0
relief,0.0,0.0,0.0,153.0
remorse,0.011363636363636364,0.009868421052631578,0.01056338028169014,304.0
sadness,0.023762376237623763,0.015503875968992248,0.018764659890539485,774.0
surprise,0.015873015873015872,0.005714285714285714,0.008403361344537815,700.0
accuracy,0.2330509708031322,0.2330509708031322,0.2330509708031322,0.2330509708031322
macro avg,0.03474391778955634,0.03548445341323693,0.028568300439971855,34353.0
weighted avg,0.12718353331981233,0.2330509708031322,0.15356574530081543,34353.0
